"interaction","name","selected","shared interaction","shared name"
"interacts with","SYP (interacts with) ATP7A","false","interacts with","SYP (interacts with) ATP7A"
"interacts with","SYP (interacts with) SLC25A16","false","interacts with","SYP (interacts with) SLC25A16"
"interacts with","SYP (interacts with) CDH2","false","interacts with","SYP (interacts with) CDH2"
"interacts with","SYP (interacts with) MAOB","false","interacts with","SYP (interacts with) MAOB"
"interacts with","SYP (interacts with) SLC7A1","false","interacts with","SYP (interacts with) SLC7A1"
"interacts with","SYP (interacts with) LRRN1","false","interacts with","SYP (interacts with) LRRN1"
"interacts with","SYP (interacts with) DSTYK","false","interacts with","SYP (interacts with) DSTYK"
"interacts with","SYP (interacts with) HACD2","false","interacts with","SYP (interacts with) HACD2"
"interacts with","SYP (interacts with) UBE3C","false","interacts with","SYP (interacts with) UBE3C"
"interacts with","SYP (interacts with) WDR81","false","interacts with","SYP (interacts with) WDR81"
"interacts with","SYP (interacts with) TMEM63B","false","interacts with","SYP (interacts with) TMEM63B"
"interacts with","SYP (interacts with) DHRS13","false","interacts with","SYP (interacts with) DHRS13"
"interacts with","SYP (interacts with) CYBC1","false","interacts with","SYP (interacts with) CYBC1"
"interacts with","SYP (interacts with) SLC38A10","false","interacts with","SYP (interacts with) SLC38A10"
"interacts with","SYP (interacts with) ATP13A2","false","interacts with","SYP (interacts with) ATP13A2"
"interacts with","SYP (interacts with) AGPAT4","false","interacts with","SYP (interacts with) AGPAT4"
"interacts with","SYP (interacts with) SLC25A29","false","interacts with","SYP (interacts with) SLC25A29"
"interacts with","SYP (interacts with) SFXN5","false","interacts with","SYP (interacts with) SFXN5"
"interacts with","SYP (interacts with) SLC20A1","false","interacts with","SYP (interacts with) SLC20A1"
"interacts with","SYP (interacts with) RUSF1","false","interacts with","SYP (interacts with) RUSF1"
"interacts with","ASPH (interacts with) STXBP3","false","interacts with","ASPH (interacts with) STXBP3"
"interacts with","ASPH (interacts with) GOLIM4","false","interacts with","ASPH (interacts with) GOLIM4"
"interacts with","ASPH (interacts with) RER1","false","interacts with","ASPH (interacts with) RER1"
"interacts with","ASPH (interacts with) NDUFS4","false","interacts with","ASPH (interacts with) NDUFS4"
"interacts with","SYP (interacts with) ELOVL5","false","interacts with","SYP (interacts with) ELOVL5"
"interacts with","SYP (interacts with) SLC8A2","false","interacts with","SYP (interacts with) SLC8A2"
"interacts with","SYP (interacts with) MGAT4B","false","interacts with","SYP (interacts with) MGAT4B"
"interacts with","ASPH (interacts with) MAOA","false","interacts with","ASPH (interacts with) MAOA"
"interacts with","ASPH (interacts with) ABCD1","false","interacts with","ASPH (interacts with) ABCD1"
"interacts with","ASPH (interacts with) GPD2","false","interacts with","ASPH (interacts with) GPD2"
"interacts with","ASPH (interacts with) STX4","false","interacts with","ASPH (interacts with) STX4"
"interacts with","ASPH (interacts with) NDUFB6","false","interacts with","ASPH (interacts with) NDUFB6"
