g1,g2,p(Interactor)
23212,4691,0.98053161548385
23212,4904,0.99365527423441
23212,339230,0.96177121479872
23212,55131,0.90715626142837
23212,6130,0.98257117688062
23212,23451,0.80452617116529
23212,79050,0.789231966657415
23212,6189,0.97314755173287
23212,6208,0.95449771909913
23212,6204,0.9642452812014
23212,6187,0.98289520839917
23212,117246,0.927048746013475
23212,6188,0.99426259866943
23212,3609,0.85341451511711
23212,9188,0.98791286183274
23212,6175,0.99761696712322
23212,6122,0.99290302605114
23212,6733,0.97160452220081
23212,22907,0.869761273704544
23212,6128,0.94800987063648
23212,3008,0.81701369307051
23212,50809,0.81873418556455
23212,90957,0.846223474907566
23212,6217,0.993555099344142
23212,10514,0.97302750446463
23212,11338,0.94382116298457
23212,27350,0.87594990795268
23212,9904,0.86075737641514
23212,85437,0.9356914995888
23212,6141,0.98702626430727
23212,6132,0.96444929855605
23212,56829,0.9233001805156
23212,2926,0.785015034983943
23212,26156,0.83088706490775
23212,65993,0.800636441029293
23212,7818,0.811665266872526
23212,9045,0.83074348705013
23212,4869,0.98321908184993
23212,23560,0.843939437640029
23212,23076,0.769135713164577
23212,6194,0.80576696197654
23212,4839,0.87808479798956
23212,51081,0.801750795337301
23212,6224,0.952607886095779
23212,29997,0.89184899420767
23212,6223,0.9829421555
23212,84365,0.93379952735849
23212,29777,0.89947847721808
23212,10240,0.955825615172542
23212,6209,0.945876880494318
23212,54865,0.95145663636511
23212,64965,0.975825771781555
23212,11103,0.9834071660226
23212,6202,0.88032260473298
23212,55299,0.937524601800356
23212,9790,0.866987582915592
23212,6160,0.86228130806986
23212,84450,0.78198628567313
23212,55646,0.87599285568266
23212,6139,0.940743703223
23212,3921,0.7604050963355
23212,6138,0.92218392074258
23212,9933,0.84091268981374
23212,64318,0.78292130809954
23212,6147,0.91973214624331
23212,25873,0.84772566915887
23212,6207,0.929477566114997
23212,6234,0.937663571780519
23212,6161,0.77874686859205
23212,10412,0.98565736592002
23212,5937,0.945685754100885
23212,60488,0.908940951999482
23212,6203,0.94505648708043
23212,6222,0.995055505926325
23212,6218,0.897457879350885
23212,23521,0.91256180685855
23212,84248,0.758709926972496
23212,6142,0.92719440996101
23212,23029,0.83512018594579
23212,6168,0.97555362865358
23212,84154,0.964542901454088
23212,6137,0.97560155265394
23212,131405,0.996333701846645
23212,5936,0.94600070773501
23212,5814,0.99817460451089
23212,5813,0.849712996893479
23212,6230,0.967833427907607
23212,10262,0.84025228662039
23212,6429,0.77276788494072
23212,6430,0.9983533985448
23212,6431,0.90234554121139
23212,6780,0.94819516679051
23212,2733,0.9390013321669
23212,10667,0.84236583596489
23212,8575,0.99866792538644
23212,6229,0.86968165722547
23212,6158,0.97419571033986
23212,6156,0.81517861667107
23212,6193,0.968775216671446
23212,57466,0.868511803351919
23212,51388,0.788296250803678
23212,6135,0.86421484470988
23212,6428,0.82396682628649
23212,6164,0.91485866329017
23212,8338,0.9999978219088
23212,6165,0.785867662936445
23212,6426,0.97158103644463
23212,6231,0.779856241824667
23212,2197,0.88474706099338
23212,122704,0.97129328421829
8460,3309,0.99997547147481
7389,728378,0.957067826592812
22846,3312,0.863083541632849
10969,55646,0.93061222490358
10969,6124,0.90875718200261
10969,6135,0.95247454881581
10969,6175,0.98249006572728
10969,6122,0.99782126462274
10969,3024,0.99999851069384
10969,3008,0.87124874088859
10969,10514,0.85033714807949
10969,6154,0.82273479485482
10969,6141,0.97120982708385
10969,26156,0.77623691711795
10969,4869,0.82699944115998
10969,6132,0.8926953258838
10969,9188,0.97812080734352
10969,6202,0.8757109038897
10969,4839,0.94030212802086
10969,6139,0.9714299496881
10969,55299,0.91911179158179
10969,6138,0.89579496252209
10969,55131,0.85199533070427
10969,6158,0.84984013197827
10969,6203,0.9411320380237
10969,6142,0.77484761828952
10969,7169,0.973967424252912
10969,6130,0.98024616919667
10969,6137,0.98260036986789
10969,6430,0.96422647937269
10969,6429,0.92283665158066
10969,6157,0.96357052065536
10969,25873,0.84132407592544
10969,6156,0.96252528506137
10969,23521,0.91220480174173
83957,3312,0.80790583828852
140680,339457,0.973929723074867
3354,506,0.977080174791387
3623,3309,0.960814937641357
3623,2923,0.998509134122478
3623,811,0.998286927141423
3623,8517,0.872705831147578
4010,4081,0.998224507034502
4010,728378,0.999977509922613
4010,60,0.831917427140427
4010,63876,0.999991806874321
4010,25973,0.899654574747621
4010,8861,0.999999821742305
4010,5087,0.999416033270075
4010,5089,0.999998983528001
4010,5090,0.999977555109863
4010,4211,0.999999580710686
4010,4212,0.999999549445947
4010,23635,0.99999999997865
4010,170463,0.99999999888316
4010,23648,0.99999999999254
55998,3312,0.766505245130796
55998,345651,0.914264579958977
83879,7532,0.904264854907984
83879,7534,0.921541589991001
5426,5427,0.99999999990215
64091,287,0.972189659247291
64091,53373,0.980984499325195
64091,196527,0.916803754753672
64091,56996,0.767943980895751
64091,25807,0.844940794892974
64091,84230,0.971253501405976
84722,3275,0.997299947166811
8480,4928,0.913802677096688
8480,55109,0.999970491726072
8480,5558,0.78813180393597
8480,11097,0.97008496781392
8480,701,0.99298030917468
8480,5557,0.93960353837184
79608,5245,0.995191824018734
79608,11160,0.962295598168933
79608,54892,0.843276445585499
