g1,g2,p(Interactor)
29960,57505,0.999614199902945
29960,1267,0.884006078834678
29960,51067,0.988695874601568
29960,51103,0.969489804602535
29960,197131,0.996477201671137
29960,1384,0.965240346516177
29960,87178,0.999853831100869
29960,25852,0.989537083143865
29960,4695,0.99470215943054
29960,51001,0.933593779365349
29960,80324,0.819321407406097
29960,26073,0.840503843218384
29960,23140,0.943993976518356
29960,10845,0.814566166534454
29960,4289,0.980347831423063
29960,10296,0.941348873505768
29960,5096,0.984683470536923
29960,51654,0.978117623374546
29960,23078,0.936627052301592
29960,2744,0.958644622007849
29960,9361,0.943641925682971
29960,64795,0.834987646285376
29960,57610,0.936454075427264
29960,64756,0.999998771027153
29960,55157,0.936751104348952
29960,2235,0.88147368034976
29960,79018,0.887591741316454
29960,79654,0.954820917701797
29960,64745,0.80346509443418
29960,197322,0.99822178918387
29960,54994,0.923819265361359
29960,54948,0.845459957504331
29960,80221,0.890266556297095
29960,10102,0.987885266959836
29960,9581,0.999962737236515
29960,56922,0.94939248890046
29960,4705,0.760088102981565
29960,92399,0.968120562863224
29960,84078,0.755660990296061
29960,26024,0.966276443100984
29960,5188,0.998882317136346
29960,92667,0.822793532743167
29960,10295,0.92224980844657
29960,8659,0.999596169144343
29960,55217,0.993172464438827
29960,23395,0.982819454832453
8939,10954,0.999990649297862
8939,4153,0.999996380688686
8939,5645,0.928323899758113
8939,90316,0.955662361755973
50614,5650,0.919473932324104
50614,1474,0.971464169028745
50614,8710,0.997722440469212
50614,80004,0.766709929643182
50614,3034,0.998754585123718
50614,374897,0.999780745249176
50614,563,0.913644761507859
50614,23581,0.761287915410014
50614,7051,0.949555364276569
50614,1515,0.980198943768266
50614,79598,0.978228668800563
50614,383,0.977682376734152
50614,145264,0.999856661654385
50614,27010,0.999999923854135
50614,7053,0.88068432334161
50614,84659,0.988153222321634
50614,4153,0.999883823902262
50614,55871,0.778302780816878
50614,79596,0.88914247432669
50614,2312,0.934150254759968
50614,51200,0.798606038363956
50614,121214,0.997211722789012
50614,242,0.98862570764514
50614,128239,0.750464021968912
50614,27178,0.998247744369485
50614,1041,0.927638405020255
50614,51433,0.768631339237124
50614,5557,0.946906110183008
50614,63922,0.803703317825276
50614,4665,0.897974183323922
50614,55072,0.921317476064875
50614,59344,0.999191874459942
50614,57139,0.885066951855796
50614,80347,0.970429506435157
50614,65082,0.987151524817517
50614,399664,0.982657078977371
50614,11334,0.947853214951931
50614,9922,0.944859026903401
50614,29094,0.902505326599137
50614,448834,0.942365496386844
3487,23077,0.999995677339755
3487,1954,0.835640152596972
3487,11188,0.847345939611248
3487,10536,0.771017479230999
3487,84926,0.99999296781163
3487,221806,0.966158011742826
3487,23304,0.997552807399447
3487,83752,0.999998284335077
3487,3481,0.999795119508288
3487,84861,0.999475179984289
3487,200933,0.999884960591038
3487,90293,0.994448766188912
3487,55958,0.929273758863448
3487,649,0.803556483596319
3487,55295,0.829717352154365
3487,23765,0.817132225354495
3487,4853,0.994753583769459
3487,4851,0.979130421741096
91464,1633,0.999994780519365
91464,5313,0.956989479540915
91464,56942,0.985860051303851
91464,26330,0.858517106566772
91464,27304,0.971979043149803
91464,27010,0.864372531584517
91464,5657,0.891933406601109
55554,55622,0.920051679958215
55554,649,0.976345225324026
55554,3913,0.884763240196951
55554,79143,0.994214004782007
55554,163590,0.788512818629302
55554,4486,0.925674614722882
55554,9620,0.794802556111053
55554,27347,0.755437014283748
55554,9943,0.970276873447444
55554,5955,0.820286935723731
55554,23231,0.972308609311267
55554,5046,0.985085312505311
55554,59342,0.994004082523023
55554,5066,0.859315028495447
55554,66005,0.938264625036736
55554,23420,0.976130993611223
55554,2588,0.990044802611035
55554,4040,0.931556498513229
55554,4041,0.990206149884172
55554,9675,0.92851368850448
55554,64222,0.971526148937794
55554,80267,0.977457942695108
55554,6786,0.969581659830377
55554,1209,0.974546230981565
55554,22883,0.92509164722437
55554,11014,0.980961714887647
55554,6692,0.789620074913542
55554,7846,0.982382062773325
55554,84790,0.767927171826341
55554,4017,0.99577558194941
55554,3693,0.832041928502562
55554,8754,0.975526761911372
55554,8504,0.988736538181954
55554,25777,0.996674076457095
55554,51622,0.934155268493567
55554,55761,0.830112609588909
55554,54919,0.926491272209909
55554,1138,0.885276302874842
55554,51435,0.884011430805675
55554,57326,0.918620356575167
