Gene,HEKTE,HCT116,U2OS
1,0.22086505277517954,0.00986836640069617,0.31031591911153744
2,0.007387626410394262,0.005509954491184496,0.1226058019920776
9,0.14980182084725757,0.15752110380721102,0.13069329803163504
10,0.014188808593562897,0.0037087419610916175,0.008010007439955375
12,0.0008529971234947871,0.019575425197793594,0.0946993824498053
13,0.0,0.16222832735386347,0.022216040049255304
14,0.3567096665176339,0.44482441139702256,0.41690448508813277
15,0.002533943208326684,0.0018725522533507403,0.02580519522707531
16,0.35575543376666624,0.43642820519486086,0.41019267052953245
18,0.14737832366056816,0.08962372255611285,0.20032473915812088
19,0.1372813136119635,0.007277497518093384,0.05040772489704028
20,0.21485742421691148,0.36285810169002536,0.28359855600601386
21,0.16718073749425047,0.0687975773922729,0.051482275244564064
22,0.23294536124600954,0.28112691758012925,0.3011365774285831
23,0.3422271189615075,0.3875733701256089,0.39541692543782403
24,0.007387626410394262,0.0037087419610916175,0.11319858756386936
25,0.29537006839489927,0.3182836643983697,0.34687465559389125
26,0.002533943208326684,0.005509954491184496,0.008858849593758931
27,0.2021424348721858,0.23723280068381597,0.29989041626446916
28,0.0016975901978076029,0.03513534666154566,0.0027474188357120687
29,0.34722195186478627,0.3424174936162946,0.33198861325566725
30,0.277872343856215,0.33106139554375985,0.33479333404548295
31,0.29315481583770403,0.39945780677423187,0.3369480103177647
32,0.098089075767596,0.13615195969475347,0.11983104161481248
33,0.008170513163084972,0.0,0.14403972506058482
34,0.3042434564184223,0.37097721390659577,0.3216366296277406
35,0.15172167980613246,0.22006923862096664,0.18863366990401248
36,0.12116640093579148,0.25332503415764,0.15359561767185873
37,0.4901824517805592,0.5054554937856075,0.5145682542782831
38,0.3646075791158529,0.438675904708768,0.35756474754806983
39,0.38106004756040773,0.3869751809574034,0.37823791993374223
40,0.027610770171417654,0.0,0.010533625892368973
41,0.15627202835921386,0.2350535253322216,0.25863024296794246
43,0.018440531350354956,0.07238325052668682,0.2196108496843964
47,0.41274966342646197,0.47989475766321854,0.43364804102880933
48,0.35015703840320933,0.32748605703582134,0.30664933728393334
49,0.0,0.014846399885270206,0.017717699187517852
50,0.2915979288335241,0.3978527956427692,0.38939005653838255
51,0.2158999036662032,0.30361994032287193,0.269321906346137
52,0.39490046518562055,0.4798533704995946,0.4160201658264521
53,0.2600904052012065,0.26594375631823247,0.30088137703728685
54,0.039753832083559114,0.013216000897909565,0.03643935933350777
55,0.0,0.00814903178609486,0.005415953407313117
56,0.01704659000962662,0.020341103864576927,0.04013312630609529
58,0.02182933241097599,0.014846399885270206,0.012178758570941653
59,0.29001224289747096,0.11900107630177116,0.12721170862191236
60,0.7191918365255843,0.7576416475644437,0.7809085583924912
70,0.04344719420250948,0.0018725522533507403,0.008858849593758931
71,0.690202524364064,0.8107793576353777,0.6896468232609013
72,0.2514607468887414,0.011556996964798548,0.015384164829807112
81,0.4744508067645863,0.5508051665321821,0.4822898141597291
86,0.39672150716134713,0.410679997596272,0.44307631037041545
87,0.49801913617228116,0.4439899068250087,0.5287227771278974
88,0.02444710844254494,0.002795103948375123,0.03891810809166872
89,0.0,0.004613636892234392,0.0009248590718990001
90,0.21801500547597197,0.24866920218402475,0.25659502562575537
91,0.19433610896087788,0.25306507303530584,0.2810127973824321
92,0.12322720939716693,0.17597523868460538,0.1774873353338622
93,0.057688503871682194,0.15498483839527824,0.15996084248594777
94,0.034758700589704476,0.014846399885270206,0.017717699187517852
95,0.2707083778537995,0.2929766693615666,0.3323796427336956
97,0.26451229743266585,0.34520915905268984,0.3704905642409352
98,0.16344211436426537,0.18028726835279552,0.1985853186678433
100,0.146761590758717,0.2646859762438717,0.27746492534692785
101,0.06562011626627752,0.06833965495407104,0.12135480639386945
102,0.4137036382335759,0.401524716971038,0.4262469057758362
103,0.34025817106216444,0.4419988957802628,0.4050407799248866
104,0.13174871638506547,0.19568328523164571,0.1765184017807441
105,0.0,0.0,0.0
107,0.015629607275502732,0.0009409112327372734,0.15270102395332608
108,0.0,0.0,0.05616970053410523
109,0.2706354510066859,0.3528271711580223,0.3176084203985825
111,0.004182561394741299,0.021854108921660415,0.08404487970656536
112,0.2828858177003339,0.21601668588260645,0.28619987046462414
113,0.19254074483575878,0.2270901259444234,0.31038186276087265
114,0.0,0.0,0.011359831953231318
115,0.12681624300012953,0.16441382976002347,0.14021252390125305
116,0.0016975901978076029,0.0009409112327372734,0.005415953407313117
117,0.0,0.0009409112327372734,0.031935828044861836
118,0.362322418498957,0.4047719872030654,0.3992450235969758
119,0.002533943208326684,0.002795103948375123,0.040734730800142074
120,0.3370577324802324,0.2877121857864921,0.39156208780368074
123,0.28583841074296046,0.3199665156337436,0.27135030260626314
124,0.0,0.015651177497697705,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0027474188357120687
127,0.0,0.0,0.0036454699749618497
128,0.4177125235424056,0.4783992937713356,0.4577874751633321
130,0.0,0.016449163656917773,0.0
131,0.0,0.0,0.0
132,0.31076700472667534,0.37557660005678023,0.3061332472859451
133,0.28370405559147976,0.32778183706644876,0.11828187958992796
134,0.23451629139755278,0.15275540392257206,0.2933959565524371
135,0.06481893750378476,0.12845225489769865,0.19080656919291622
136,0.19773248474037583,0.38589520040544584,0.29738473760108053
140,0.0,0.0,0.0
141,0.09559607445463264,0.08159556334305332,0.06207311724821303
142,0.4022467710199731,0.4982546531743986,0.45061334409620557
143,0.2772329750165916,0.38111209680578345,0.24893943542929822
146,0.0049951314938546515,0.0018725522533507403,0.0009248590718990001
147,0.039753832083559114,0.005509954491184496,0.19781396511364188
148,0.0,0.0,0.027893992565873098
150,0.002533943208326684,0.0037087419610916175,0.009700009812780701
151,0.004182561394741299,0.013216000897909565,0.01459311690751855
152,0.0033622153870905155,0.19532442028976205,0.1404179329789721
153,0.0,0.03770858840294851,0.0009248590718990001
154,0.15316978017911298,0.02837812995360463,0.1889993657324965
155,0.0,0.0,0.0207406508199674
156,0.2730098718837515,0.3840727904141732,0.3529901330929031
157,0.03866868463679173,0.17389362761228266,0.26512728280606945
158,0.3604237988086551,0.46019789844753656,0.4518301612668395
159,0.30232424156681964,0.37354179427426787,0.28403719565840724
160,0.3199223453874996,0.36843724420008767,0.41642125748382075
161,0.30064429373240903,0.3585212203672625,0.29131525251939044
162,0.29194003305985533,0.3581363918061844,0.3464955048132497
163,0.3746273571447891,0.43495655891231405,0.38875395936443896
164,0.2878314146446484,0.3699996382951299,0.3543555125549969
165,0.26641092856567916,0.004613636892234392,0.39074657114063044
166,0.4689292647940585,0.47746991217566576,0.5427680119706924
167,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.06153717778061219,0.029075998794109405,0.0992822331123599
175,0.27462671897795105,0.18810443276200342,0.3305140599760307
176,0.0008529971234947871,0.0009409112327372734,0.1507020744415722
177,0.11819541783136016,0.1216500113812819,0.19546073638784406
178,0.17227014992004816,0.26684811035951894,0.2023488923052512
181,0.0,0.0,0.0
